Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central
JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central
PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West
LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East
MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central
DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central
CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West
JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East
MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East
BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West
HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South
VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East
JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East
DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central
VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,38401,South
CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South
KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central
DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central
LH-17155,Logan Haushalter,Consumer,United States,San Francisco,California,94109,West
DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,Central
HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109,West
JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004,West
NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229,East
KL-16555,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,80906,West
JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109,East
JH-15910,Jonathan Howell,Consumer,United States,Chicago,Illinois,60623,Central
AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East
BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004,West
TS-21205,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East
NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East
DJ-13510,Don Jones,Corporate,United States,Murfreesboro,Tennessee,37130,South
PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West
JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East
KW-16435,Katrina Willman,Consumer,United States,New York City,New York,10009,East
MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East
AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East
DO-13435,Denny Ordway,Consumer,United States,Pembroke Pines,Florida,33024,South
DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,East
AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036,Central
KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110,West
KC-16675,Kimberly Carter,Corporate,United States,Seattle,Washington,98105,West
PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West
MP-17965,Michael Paige,Corporate,United States,Lawrence,Massachusetts,1841,East
NF-18385,Natalie Fritzler,Consumer,United States,Jackson,Mississippi,39212,South
JM-15265,Janet Molinari,Corporate,United States,Canton,Michigan,48187,Central
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10024,East
PK-19075,Pete Kriz,Consumer,United States,Detroit,Michigan,48227,Central
TB-21595,Troy Blackwell,Consumer,United States,Columbus,Indiana,47201,Central
EB-13705,Ed Braxton,Corporate,United States,Akron,Ohio,44312,East
SC-20095,Sanjit Chand,Consumer,United States,Concord,California,94521,West
NF-18385,Natalie Fritzler,Consumer,United States,Decatur,Illinois,62521,Central
TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West
