Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit,profit_pred,residuals
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,New York City,New York,10011,East,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,New York City,New York,10011,East,FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,93309,West,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-140186,2017-09-29,2017-10-02,First Class,PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,93309,West,FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,51.75,1,0.0,15.525,15.52500000000002,-37.256876834899735
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,Troy Blackwell,Consumer,United States,Springfield,Ohio,45503,East,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91,1,0.0,1.3677,1.3524539999999998,-48.59270200553788
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,Troy Blackwell,Consumer,United States,Columbus,Indiana,47201,Central,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91,1,0.0,1.3677,1.3524539999999998,-48.59270200553788
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,Troy Blackwell,Consumer,United States,Milwaukee,Wisconsin,53209,Central,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91,1,0.0,1.3677,1.3524539999999998,-48.59270200553788
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,Troy Blackwell,Consumer,United States,Lubbock,Texas,79424,Central,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91,1,0.0,1.3677,1.3524539999999998,-48.59270200553788
CA-2016-143749,2016-12-05,2016-12-07,First Class,AG-10300,Aleksandra Gannaway,Corporate,United States,Franklin,Massachusetts,2038,East,FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,81.94,1,0.0,20.485,18.96731539999996,-34.04094573535908
CA-2016-143749,2016-12-05,2016-12-07,First Class,AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049,West,FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,81.94,1,0.0,20.485,18.96731539999996,-34.04094573535908
CA-2015-104626,2015-09-01,2015-09-08,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,60.74,1,0.0,15.185,15.198874999999987,-38.116226931459174
CA-2015-104626,2015-09-01,2015-09-08,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Aurora,Illinois,60505,Central,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,60.74,1,0.0,15.185,15.198874999999987,-38.116226931459174
CA-2015-104626,2015-09-01,2015-09-08,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Normal,Illinois,61761,Central,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,60.74,1,0.0,15.185,15.198874999999987,-38.116226931459174
CA-2016-110009,2016-09-08,2016-09-13,Standard Class,TR-21325,Toby Ritter,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,43.13,1,0.0,14.6642,16.85753766031747,-37.61970154765364
CA-2016-110009,2016-09-08,2016-09-13,Standard Class,TR-21325,Toby Ritter,Consumer,United States,Seattle,Washington,98103,West,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,43.13,1,0.0,14.6642,16.85753766031747,-37.61970154765364
CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215,East,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,51.94,1,0.0,21.2954,20.71835999999999,-31.497453088330914
CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,51.94,1,0.0,21.2954,20.71835999999999,-31.497453088330914
CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Lorain,Ohio,44052,East,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,51.94,1,0.0,21.2954,20.71835999999999,-31.497453088330914
