Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,NewCustomerID
AB-10105,Adrian Barton,Consumer,United States,Henderson,Kentucky,42420,South,AB-10105-0
AB-10105,Adrian Barton,Consumer,United States,Houston,Texas,77041,Central,AB-10105-1
AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West,AB-10105-2
EB-14110,Eugene Barchas,Consumer,United States,Columbus,Ohio,43229,East,EB-14110-0
EB-14110,Eugene Barchas,Consumer,United States,Los Angeles,California,90045,West,EB-14110-1
EB-14110,Eugene Barchas,Consumer,United States,Philadelphia,Pennsylvania,19134,East,EB-14110-2
ME-17320,Maria Etezadi,Home Office,United States,Chicago,Illinois,60653,Central,ME-17320-0
ME-17320,Maria Etezadi,Home Office,United States,Columbus,Georgia,31907,South,ME-17320-1
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,ME-17320-2
ME-17320,Maria Etezadi,Home Office,United States,Los Angeles,California,90008,West,ME-17320-3
ME-17320,Maria Etezadi,Home Office,United States,Saginaw,Michigan,48601,Central,ME-17320-4
RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,42420,South,RD-19585-0
VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,VF-21715-0
VF-21715,Vicky Freymann,Home Office,United States,Seattle,Washington,98115,West,VF-21715-1
CR-12820,Cyra Reiten,Home Office,United States,Houston,Texas,77041,Central,CR-12820-0
DP-13165,David Philippe,Consumer,United States,New York City,New York,10035,East,DP-13165-0
NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,79109,Central,NM-18520-0
NM-18520,Neoma Murray,Consumer,United States,Chicago,Illinois,60610,Central,NM-18520-1
NM-18520,Neoma Murray,Consumer,United States,Houston,Texas,77036,Central,NM-18520-2
NM-18520,Neoma Murray,Consumer,United States,Los Angeles,California,90045,West,NM-18520-3
ON-18715,Odella Nelson,Corporate,United States,Burlington,North Carolina,27217,South,ON-18715-0
ON-18715,Odella Nelson,Corporate,United States,Clinton,Maryland,20735,East,ON-18715-1
DB-13270,Deborah Brumfield,Home Office,United States,Dallas,Texas,75081,Central,DB-13270-0
DB-13270,Deborah Brumfield,Home Office,United States,Portland,Oregon,97206,West,DB-13270-1
DB-13270,Deborah Brumfield,Home Office,United States,Providence,Rhode Island,2908,East,DB-13270-2
JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,JK-15730-0
JK-15730,Joe Kamberova,Consumer,United States,Concord,California,94521,West,JK-15730-1
JK-15730,Joe Kamberova,Consumer,United States,Des Plaines,Illinois,60016,Central,JK-15730-2
KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,KL-16645-0
KL-16645,Ken Lonsdale,Consumer,United States,Detroit,Michigan,48205,Central,KL-16645-1
KL-16645,Ken Lonsdale,Consumer,United States,Newark,Delaware,19711,East,KL-16645-2
KL-16645,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,KL-16645-3
MA-17560,Matt Abelman,Home Office,United States,Everett,Massachusetts,2149,East,MA-17560-0
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77070,Central,MA-17560-1
MA-17560,Matt Abelman,Home Office,United States,Trenton,Michigan,48183,Central,MA-17560-2
MG-17875,Michael Grace,Home Office,United States,Arlington,Virginia,22204,South,MG-17875-0
MG-17875,Michael Grace,Home Office,United States,Aurora,Illinois,60505,Central,MG-17875-1
PS-18760,Pamela Stobb,Consumer,United States,Andover,Massachusetts,1810,East,PS-18760-0
PS-18760,Pamela Stobb,Consumer,United States,Los Angeles,California,90008,West,PS-18760-1
PS-18760,Pamela Stobb,Consumer,United States,Philadelphia,Pennsylvania,19140,East,PS-18760-2
PS-18760,Pamela Stobb,Consumer,United States,San Antonio,Texas,78207,Central,PS-18760-3
TA-21385,Tom Ashbrook,Home Office,United States,Chicago,Illinois,60653,Central,TA-21385-0
TA-21385,Tom Ashbrook,Home Office,United States,Olathe,Kansas,66062,Central,TA-21385-1
TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,98103,West,TB-21250-0
AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East,AC-10615-0
AC-10615,Ann Chong,Corporate,United States,Rochester,New York,14609,East,AC-10615-1
AG-10270,Alejandro Grove,Consumer,United States,Omaha,Nebraska,68104,Central,AG-10270-0
AG-10270,Alejandro Grove,Consumer,United States,Philadelphia,Pennsylvania,19120,East,AG-10270-1
DB-12910,Daniel Byrd,Home Office,United States,Columbus,Georgia,31907,South,DB-12910-0
DB-12910,Daniel Byrd,Home Office,United States,Dallas,Texas,75220,Central,DB-12910-1
DB-12910,Daniel Byrd,Home Office,United States,Henderson,Kentucky,42420,South,DB-12910-2
DB-12910,Daniel Byrd,Home Office,United States,Lake Forest,California,92630,West,DB-12910-3
DB-12910,Daniel Byrd,Home Office,United States,Salinas,California,93905,West,DB-12910-4
EM-13810,Eleni McCrary,Corporate,United States,New York City,New York,10009,East,EM-13810-0
EM-13810,Eleni McCrary,Corporate,United States,San Francisco,California,94122,West,EM-13810-1
JC-16105,Julie Creighton,Corporate,United States,Los Angeles,California,90045,West,JC-16105-0
JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,JC-16105-1
JK-16090,Juliana Krohn,Consumer,United States,Louisville,Kentucky,40214,South,JK-16090-0
JK-16090,Juliana Krohn,Consumer,United States,Springfield,Oregon,97477,West,JK-16090-1
TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,79907,Central,TS-21655-0
